,City_Name
0,רמתגן
1,רמתישי
2,תלאביביפו
3,אשדוד
4,קדימהצורן
5,ירושלים
6,רמלה
7,נהריה
8,ראשוןלציון
9,חולון
10,חיפה
11,שדרות
12,אשקלון
13,רחובות
14,גבעתשמואל
15,חדרה
16,בתים
17,ראשלצ
18,פתחתקווה
19,הודהשרון
20,הרצליה
21,אורעקיבא
22,בארשבע
23,כפרתבור
24,נתניה
25,לוד
26,קריתאונו
27,בורגתה
28,עזריה
29,סביון
30,רמתגןפונהליםמדהימהאחתויחידהמושקעת
31,ביתשמש
32,קריתעקרון
33,אירוס
34,מזכרתבתיה
35,בניברק
36,טבריה
37,רמתגןמגדלסיטיטאוורלאונארדושרתון
38,רמתגןסיטיטאוורטאוארפונהלים
39,רמתהשרון
40,באריעקב
41,ביתשאן
42,בוסתןהגליל
43,אבןיהודה
44,נשר
45,נווהאילן
46,חריש
47,רעננה
48,פראשוןלציון
49,מעלהאפרים
50,תלאביב
51,אוריהודה
52,פרדסחנהכרכור
53,נוהחוף
54,רמתגןמגדלסיטיטאוור
55,קרנישומרון
56,קריתים
57,קריתגת
58,יהודמונוסון
59,עפולה
60,ירוחם
61,טירתכרמל
62,ביתרעילית
63,קריתמוצקין
64,ערד
65,גבעתיים
66,נסציונה
67,דימונה
68,יבנה
69,אזור
70,קיסריה
71,קריתביאליק
72,כפריונה
73,קדומים
74,מודיעיןמכביםרעות
75,קריתמלאכי
76,יקנעם
77,קריתאתא
78,שוהם
79,אדמית
80,חצורהגלילית
81,אריאל
82,יירושלים
83,כפרסבא
84,עכו
85,Netanya
86,צפת
87,קריתג
88,מעלותתרשיחא
89,כורזים
90,זכרוןיעקב
91,מגדלהעמק
92,רכסים
93,יקנעםעילית
94,יקנעםעלית
95,TelAviv
96,אילת
97,נתיבות
98,קמלאכי
99,גניתקווה
100,גבעתאבני
101,בנימינה
102,כרמיאל
103,נווהמיכאל
104,בארשב
105,עמנואל
106,תלציון
107,גבעתזאב
108,מצפהשלם
109,קיריתים
110,צורהדסה
111,ידחנה
112,רמון
113,יפוד
114,פרדסיה
115,קריתחיים
116,reפתחתקווה
117,עפולהעילית
118,אחוזתברק
119,שדהצבי
120,צוריצחק
121,חוקוק
122,מטולה
123,שלומי
124,ראשון
125,מודיעיןעילית
126,מצפהרמון
127,אבניחפץ
128,מבשרתציון
129,ורדון
130,נופים
131,Tנהריה
132,אלעד
133,ראשהעין
134,תלמונד
135,נתני
136,לימן
137,נוגה
138,פתחתקוה
139,גבעבנימיןאדם
140,גבעתעדה
141,עתלית
142,קריתארבע
143,Nazarethillit
144,קריתשמונה
145,בארותיים
146,ביתןאהרן
147,חבצלתהשרון
148,בצרה
149,עיןהעמק
150,מכמורת
151,חיבת
152,הדרעם
153,ביתהלוי
154,כפרויתקין
155,כפרמונש
156,אביחיל
157,בניציון
158,גבעתחן
159,חיבתציון
160,חגלה
161,מונש
162,אודים
163,חרוצים
164,ביתיצחקשערחפר
165,מעלהאדומים
166,ביתיהושע
167,קציר
168,אורנית
169,קלערמתהגולן
170,רמותמאיר
171,מיתר
172,שניליבנה
173,ניויורק
174,אלפימנשה
175,אומן
176,מרחביהמושב
177,ריחן
178,עוספיה
179,יהוד
180,ינוב
181,נצרתעילית
182,ראשפינה
183,עומר
184,בתחפר
185,אבןשמואל
186,משגבדב
187,אופקים
188,ענב
189,בניעיש
190,רמתגןמגדלעליתהחדש
191,נהורה
192,שריגים
193,תלאביביפוב
194,גןנר
195,חבר
196,מגדל
197,יבנאל
198,אלקנה
199,בארגנים
200,בניברקמיקוםעםהרבהאוויר
201,פתחתיקווה
202,Telaviv
203,⁸בארשבע
204,כפרהים
205,הרצליהפיתוח
206,יוקנעם
207,קרייתים
208,מושבשורש
209,גנימודיעין
210,תקוע
211,לכיש
212,גדרה
213,קריתטבעון
214,אליכין
215,ביתזית
216,מוצאעילית
217,שחר
218,קרייתגת
219,קריותקריתחיים
220,פורייהכפרעבודה
221,שקד
222,עליזהב
223,חוסן
224,כוכביעקב
225,להבים
226,רמתפולג
227,שדהנחום
228,סלעית
229,נטעים
230,קוהים
231,חומתשמואל
232,צפוןהישן
233,נוףהגלילנצרתעילית
234,מעש
235,מצליח
236,עפרה
237,קרייתשמואל
238,רחובו
239,עלמון
240,נירעקיבא
241,קרייתמוצקין
242,תלאביבהצפוןהישן
243,טבארשבע
244,רמתביתשמש
245,שבותרחל
246,שעריתקווה
247,כפרמעש
248,בתשלמה
249,תלקריתעקרון
250,ברגיורא
251,יפו
252,קריתשמואל
253,ניצן
254,ביתיוסף
255,כפרחיטים
256,הודיה
257,מושבשחר
258,ביתמאיר
259,נווהחוף
260,קצרין
261,עראבה
262,גיתה
263,כפרגנים
264,ביתדגן
265,מנחמיה
266,כפראדומים
267,צוקים
268,צורמשה
269,טבר
270,ביתאל
271,נבטים
272,גבעתיואב
273,וולינגרדבולגריה
274,אניעם
275,כרכום
276,אורי
277,גןיבנה
278,ביתנחמיה
279,קדרים
280,יקיר
281,ירדנה
282,שומרה
283,מזרעה
284,יגל
285,גבעתי
286,גבעמצפוןלירושלים
287,מצפהיריחו
288,אפרת
289,טפחות
290,קריתהשרון
291,אחיסמך
292,נצרת
293,משמרהירדן
294,כפרורדים
295,מערבחדרה
296,ביתאריה
297,אבןמנחם
298,קריתהיובל
299,עופרים
300,יוסףטל
301,כחל
302,חירבתחורה
303,חיפההדר
304,hifa
305,רמותא
306,מושבזיתן
307,מורן
308,נהרייה
309,קרייתמלאכי
310,נתניהאזורים
311,הדריוסף
312,קריתחייםמערבית
313,כפרמלל
314,Batumi
315,כטבריה
316,Beersheva
317,נווהמונוסון
318,רמתפנקס
319,⁹אשדוד
320,מרכזשפירא
321,היוגב
322,תלויאביביפו
323,יהודמונסון
324,כפרגניםג
325,קרייתאונו
326,הרגילה
327,קדמתצבי
328,Myאשקלון
329,גורנותהגליל
330,ביתעוזיאל
331,יוקנעםמושבה
332,לוזית
333,ביתהערבה
334,מעלהלבונה
335,מפלסים
336,ישוביהשומרון
337,איתמר
338,משמרות
339,³בתים
340,נוףהגליל
341,בניעייש
342,שושנתהעמקים
343,כפראברהם
344,לפידות
345,המושבהמגדל
346,צוחר
347,פרדסחנה
348,גניאביבלוד
349,מטע
350,נווהימין
351,מושבמעונה
352,בנייהודה
353,ביתחשמונאי
354,שלומית
355,כרמיה
356,חיננית
357,ספיר
358,PetschTikva
359,ירושליים
360,כפרשמריהו
361,דורות
362,ספסופה
363,תלאאביב
364,Uירושלים
365,חולו
366,ברכפלד
367,ידאליהו
368,תלאביביפ
369,פת
370,כפרחנניה
371,הולנד
372,hruakho
373,רשפון
374,עלמוןענתות
375,כפרחסידים
376,כוכביאיר
377,קטבעון
378,חגור
379,תלמיבילו
380,תלאב
381,חולתה
382,פוריהכפרעבודה
383,דאליתאלכרמל
384,נווהירק
385,רמתחן
386,קריתגתלכיש
387,שעריתקוה
388,ביתאריהעופרים
389,קרייתשמונה
390,נווהאפקהצבאית
391,Hadera
392,אלוןשבות
393,שדהדוד
394,עלי
395,ףלוד
396,טירתהכרמל
397,סנהדריה
398,נעלה
399,חדנס
400,שיכוניהמיזרח
401,עתניאל
402,³חפציבה
403,ביתרימון
404,אמונים
405,ןיאשיה
406,פסגתזאבמזרח
407,כינרתמושבה
408,חמדיה
409,כפררוזנבלד
410,Болгария
411,כרמל
412,יציץ
413,ראשוןלציוןואי
414,כוכבמיכאל
415,שפיר
416,נירחן
417,פורייהנווהעובד
418,קרייתחיים
419,רארשוןלציון
420,ביתשיקמה
421,שעראפרים
422,עזריאל
423,גןשורק
424,רוממה
425,ראמה
426,גדעונה
427,פסגתזאב
428,גבעותבר
429,בןשמן
430,מזור
431,צורן
432,באקהאלגרביה
433,עיןאיילה
434,קצירחריש
435,ראשוןךציון
436,טנאעומרים
437,אלון
438,קרייתאתא
439,עץאפרים
440,מעייןברוך
441,ידבנימין
442,הרחומה
443,ברקן
444,הגושרים
445,גילון
446,מעיןברוך
447,רמתמוצא
448,Черноморец
449,קרייתביאליק
450,יובלים
451,שביציון
452,אמנון
453,רמתצבי
454,כפרקיש
455,אדרת
456,ירושלם
457,רוחמה
458,פקיעיןחדשה
459,אלוןהגליל
460,אשדודד
461,חורה
462,ןאשקלון
463,חשמונאים
464,ידרמבם
465,צופין
466,נווהדקלים
467,פתחתקווהמרכז
468,עיןשריד
469,מתן
470,גבעתכלניות
471,הריונה
472,נוףיזרעאל
473,גבעתאלונים
474,נסהרים
475,גבעתיערה
476,הראדר
477,ההרדופים
478,חרבלאת
479,שערהגיא
480,נופית
481,טנא
482,אליקים
483,תירוש
484,
485,יוקנעםעילית
486,מגןשאול
487,אלישיב
488,כרמייוסף
489,גבעתאלה
490,השיקמה
491,בנימינהגבעתעדה
492,קלחים
493,שעלבים
494,הצאלים
495,חופית
496,בתחן
497,כרמיצור
498,תמרת
499,גןהשומרון
500,בקוע
501,ארסוף
502,השיירות
503,ירחיב
504,עזריקם
505,זרחיה
506,עוצם
507,זאב
508,סמטתהשיפון
509,דרומית
510,התמר
511,צפונית
512,הס
513,בןגוריון
514,אשכול
515,שדרותדודהמלך
516,החצב
517,מנחםבגין
518,חלמיש
519,כוכביאירצוריגאל
520,הגפן
521,כפרתפוח
522,מעלההזית
523,עזר
524,הדרהכרמל
525,הזורעים
526,ירדן
527,אשלים
528,קדרון
529,טופז
530,שמשית
531,הסוללים
532,חספין
533,תדהר
534,זיתשמן
535,הדקל
536,משעולהדס
537,גאוןהירדן
538,ביתלחםהגלילית
539,האלומה
540,בחן
541,ורדיריחו
542,געתון
543,הנוריות
544,כפרברוך
545,אוםאלפחם
546,יחיעם
547,מכמנים
548,ביתהבחירה
549,ביתינאי
550,נווהזיו
551,האורנים
552,מאור
553,דרךהעצמאות
554,שדרותאדם
555,כמון
556,בנידרור
557,התאנה
558,האסיף
559,בניראם
560,זית
561,יסודהמעלה
562,אשכולות
563,גבעוןהחדשה
564,מתתיהוהכהן
565,קריתיערים
566,רקפת
567,שרונה
568,ביתעזרא
569,שובה
570,אומץ
571,אורה
572,ביתהשיטה
573,חצב
574,גיאה
575,אדורה
576,ביתשערים
577,שדרותהיונה
578,נוףאיילון
579,ביצרון
580,סמטתהעלייה
581,האלונים
582,נירמשה
583,המיצר
584,חדיד
585,האיריסים
586,כפרהס
587,ההדרים
588,שדרותהזמיר
589,החריש
590,רימון
591,אודם
592,הקטורת
593,נורית
594,ערבינחל
595,עדי
596,הרבדסלר
597,מבואמעונה
598,הערבה
599,חנתון
600,החצבני
601,מוריה
602,פוריהעילית
603,נצחירושלים
604,השדה
605,יפיע
606,לוטם
607,החיטה
608,גבעתהגן
609,בןזכאי
610,רמותהשבים
611,כפריעבץ
612,הריונהג
613,הגיבורים
614,נירישראל
615,ארגמן
616,אשרת
617,הרמבם
618,ברכה
619,זיתן
620,דרךהפרדס
621,מחניים
622,שפרעם
623,שתולים
624,אלונים
625,רבבה
626,אתרוג
627,שלום
628,יפהנוף
629,שדמותדבורה
630,ביתחנניה
631,עיןזיוון
632,ידנתן
633,דקל
634,מלכית
635,נחלחבר
636,יצחקרבין
637,מעלהשומרון
638,בתהדר
639,כרמים
640,תנובות
641,הורד
642,זבדיאל
643,הזית
644,בןעמי
645,נאותאשכול
646,גנותהדר
647,אבןעזרא
648,השיטה
649,נחלנטוף
650,דבירה
651,הדודאים
652,דולב
653,אילון
654,מירון
655,אלומות
656,גפן
657,עיןדור
658,ענבר
659,כפריהושע
660,נוףילדות
661,הדבש
662,אורן
663,כלנית
664,עיט
665,ארבל
666,מדרךעוז
667,דבורה
668,לפיד
669,צורית
670,משעולכוכב
671,אלוןמורה
672,דרךהפארק
673,ביתהלל
674,השקדים
675,יהודההמכבי
676,האלה
677,מסילתציון
678,מולדת
679,משעולזמורה
680,בלפוריה
681,גניעם
682,נווהזוהר
683,נוב
684,נופך
685,ברוש
686,נרקיס
687,השירההעברית
688,האלון
689,קדר
690,משהזנדני
691,כליל
692,גלבוע
693,כפרנטר
694,שילת
695,גילת
696,אחוזם
697,הרימון
698,מדרשתבןגוריון
699,ביתאלעזרי
700,הבונים
701,אלישמע
702,נירגלים
703,עטרה
704,הגורן
705,קורא
706,תמנע
707,רותם
708,פטוםהקטורת
709,גשרהזיו
710,עיןורד
711,בשמת
712,היסמין
713,ורד
714,תלעדשים
715,להבותהבשן
716,אליפלט
717,יזרעאל
718,טלאל
719,רמתרזיאל
720,הגיא
721,געש
722,מצפהכנרת
723,צאלון
724,דרךהסובלנות
725,רמתיקנעם
726,החרצית
727,תאנה
728,נאותגולן
729,שדהאליעזר
730,עיןיעקב
731,דרךהבשור
732,רמבן
733,כפרידידיה
734,פוריהנווהעובד
735,אלה
736,סמטתהחרוב
737,כפרראשהנקרה
738,שדרותכרמית
739,משעולאשכול
740,אלומה
